,0
Arzislemhacmi,0.5446161968256054
Maxeslesmefiyati,0.20346743334094575
Smfdolar,0.15224512119279182
Smfeuro,0.07058004007353885
Talepislemhacmi,0.008947640613186675
Dolar,0.00618524188284527
Maxalisfiyati,0.0038768949825228453
Euro,0.00333845284335258
Year,0.0008274253150597016
Gerceklesentoplam,0.0007857437723915687
Gerceklesenakarsu,0.0005453777825239194
Ptfeuro,0.00044905498390702503
Izmir_temp,0.00037209364350114754
Gerceklesenbarajli,0.0003681798715410261
Gerceklesenithalkomur,0.00034409382124973175
Bursa_temp,0.0002919136351088817
Month,0.0002884231250543645
Ptfdolar,0.00022745304657959014
Maxsatisfiyati,0.00020837480302208188
Gerceklesendogalgaz,0.0001932125259048409
Gerceklesenbiyokutle,0.00018518201052636577
Gaziantep_temp,0.00017868329486205178
Istanbul_anadolu_temp,0.00015187337158521636
Istanbul_avrupa_temp,0.00012808626211795768
Gerceklesenruzgar,0.0001246372661133892
Gerceklesenfueloil,0.00010691852753761119
Gerceklesenjeotermal,9.495937833363364e-05
Adana_temp,7.416623461595569e-05
Bursa_humidity,7.391225141054896e-05
Gerceklesenuluslararasi,7.328879656378646e-05
Gerceklesenlinyit,7.240200439025402e-05
Hour,6.894520891410853e-05
Saatlikeslesmemiktari,6.471388971876037e-05
Gerceklesentaskomur,4.709908682521044e-05
Gerceklesenasfaltitkomur,4.552590368175458e-05
Gaziantep_humidity,4.178265983453937e-05
Mineslesmefiyati,3.9714135062279773e-05
Gerceklesengunes,3.673309879485948e-05
Adana_humidity,3.4839222581219e-05
Day,3.438399073978663e-05
Izmir_humidity,3.2195457567941625e-05
Mevsim,2.4193074489678206e-05
Istanbul_anadolu_humidity,2.417915105765968e-05
Istanbul_avrupa_humidity,2.2837423465728353e-05
Weekday,1.830803684558202e-05
Minsatisfiyati,1.6033444077943042e-05
Blokeslesmemiktari,1.5550456243185066e-05
Minalisfiyati,7.313818214752375e-06
Day/Night,1.7972010520555454e-06
Is_Weekend,1.3772621431797376e-06
Gerceklesennafta,0.0
Gerceklesenlng,0.0
